method,methodHistories,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,churn,maxChurn,avgChurn,decl,cond,elseAdded,elseDeleted,developers,ownership,entropy,buggy
com.puppycrawl.tools.checkstyle.checks.javadoc.SummaryJavadocCheckTest:testIncorrect,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
com.puppycrawl.tools.checkstyle.checks.whitespace.NoWhitespaceAfterCheck:getArrayDeclaratorPreviousElement,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck:findFrame,1,1,32.0,32.0,32.0,27.0,27.0,27.0,5.0,5.0,5.0,0.0,2.0,0.0,0.0,1.0,0.03125,0.03389830508474576,true
com.puppycrawl.tools.checkstyle.checks.blocks.rightcurly.InputRightCurlyDoWhile:foo3,1,1,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,true
com.puppycrawl.tools.checkstyle.checks.blocks.NeedBracesCheck:isDefaultInAnnotation,3,3,44.0,44.0,14.666666666666666,9.0,9.0,3.0,35.0,35.0,11.666666666666666,0.0,1.0,-1.0,-1.0,0.3333333333333333,0.045454545454545456,0.07547169811320754,true
com.puppycrawl.tools.checkstyle.gui.MainFrameModelTest:testOpenFileWithParseModePlainJava,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,true
com.puppycrawl.tools.checkstyle.checks.blocks.rightcurly.InputRightCurlyDoWhile:foo4,1,1,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,true
com.puppycrawl.tools.checkstyle.checks.AbstractTypeAwareCheck:createClassInfo,1,1,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,-1.0,-1.0,1.0,0.1111111111111111,0.0,true
com.puppycrawl.tools.checkstyle.checks.design.designforextension.InputDesignForExtensionIgnoredAnnotations:foo20,2,2,3.0,3.0,1.5,0.0,0.0,0.0,3.0,3.0,1.5,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,true
com.puppycrawl.tools.checkstyle.checks.design.designforextension.InputDesignForExtensionIgnoredAnnotations:foo21,2,2,3.0,3.0,1.5,0.0,0.0,0.0,3.0,3.0,1.5,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,true
com.puppycrawl.tools.checkstyle.checks.blocks.rightcurly.InputRightCurlyDoWhile:foo2,1,1,9.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,true
com.puppycrawl.tools.checkstyle.checks.design.designforextension.InputDesignForExtensionIgnoredAnnotations:foo22,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,true
com.puppycrawl.tools.checkstyle.checks.design.designforextension.InputDesignForExtensionIgnoredAnnotations:foo23,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,true
com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheckTest:testGetAcceptableTokens,2,2,6.0,5.0,3.0,0.0,0.0,0.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,true
com.puppycrawl.tools.checkstyle.checks.design.designforextension.InputDesignForExtensionIgnoredAnnotations:foo24,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,true
com.puppycrawl.tools.checkstyle.CheckerTest:testFileExtensions,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
