,graph,complexity
702,cfg.mbuiter_multi_copy.dot,2
703,cfg.list_entries_who.dot,4
704,cfg.optc_to_fileno.dot,4
705,cfg.human_time.dot,3
706,cfg.remove_parents.dot,8
707,cfg.rotl64.dot,-1
708,cfg.swallow_file_in_memory.dot,5
709,cfg.line_bytes_split.dot,22
710,cfg.context_free.dot,-1
711,cfg.homogeneous_spec_list.dot,4
712,cfg.argv_iter_n_args.dot,2
713,cfg.keycmp.dot,11
714,cfg.elide_tail_bytes_pipe.dot,27
715,cfg.build_upper_buffer.dot,4
716,cfg.strcmp_ctime.dot,-1
717,cfg.xnumtoumax.dot,10
718,cfg.sighandler.dot,2
719,cfg.validate_case_classes.dot,15
720,cfg.search_item.dot,18
721,cfg.optimize_utf8.dot,28
722,cfg.calc_next.dot,5
723,cfg.xstrcoll_ctime.dot,-1
724,cfg.randint_choose.115.dot,-1
725,cfg.chown_failure_ok.dot,3
726,cfg.init_node.dot,4
727,cfg.chown_files.dot,9
728,cfg.find_unit_order.dot,3
729,cfg.load_buffer.dot,7
730,cfg.set_quoting_style.dot,2
731,cfg.xstrxfrm.dot,1
732,cfg.do_decode.dot,13
733,cfg.lchmod.dot,6
734,cfg.strict_posix2.dot,2
735,cfg.map_inode_number.dot,5
736,cfg.new_exclude_segment.dot,3
737,cfg.savedir.dot,3
738,cfg.do_move.dot,8
739,cfg.clean_state_log_if_needed.dot,8
740,cfg.free_charset.dot,-1
741,cfg.scan_arg.dot,22
742,cfg.traverse_raw_number.dot,8
743,cfg.is_prime.dot,3
744,cfg.triple_hash_no_name.dot,-1
745,cfg.mbsalign.dot,26
746,cfg.rev_xstrcoll_df_version.dot,6
